Nro.,SEDE DEPARTAMENTAL,SUBSEDE DEPARTAMENTAL,PERSONAL A CONTRATAR,PERSONAL A CAPACITAR
182,LIMA METROPOLITANA,LIMA NORTE 1_PUENTE PIEDRA: (PROVINCIA LIMA: PUENTE PIEDRA ),240,312
183,LIMA METROPOLITANA,LIMA NORTE 1_SANTA ROSA: (PROVINCIA LIMA: SANTA ROSA ),36,47
184,LIMA METROPOLITANA,LIMA NORTE 2_CARABAYLLO: (PROVINCIA LIMA: CARABAYLLO ),288,375
185,LIMA METROPOLITANA,LIMA NORTE 2_LOS OLIVOS: (PROVINCIA LIMA: LOS OLIVOS ),212,276
186,LIMA METROPOLITANA,LIMA NORTE 3_COMAS: (PROVINCIA LIMA: COMAS ),320,416
187,LIMA METROPOLITANA,LIMA NORTE 3_INDEPENDENCIA: (PROVINCIA LIMA: INDEPENDENCIA ),128,167
188,LIMA METROPOLITANA,LIMA NORTE 4_SAN MARTIN DE PORRES: (PROVINCIA LIMA: SAN MARTIN DE PORRES ),476,619
189,LIMA METROPOLITANA,LIMA SUR 1_BARRANCO: (PROVINCIA LIMA: BARRANCO ),32,42
190,LIMA METROPOLITANA,LIMA SUR 1_SANTIAGO DE SURCO: (PROVINCIA LIMA: SANTIAGO DE SURCO ),224,292
191,LIMA METROPOLITANA,LIMA SUR 1_SURQUILLO: (PROVINCIA LIMA: SURQUILLO ),72,94
192,LIMA METROPOLITANA,LIMA SUR 2_CHORRILLOS: (PROVINCIA LIMA: CHORRILLOS ),204,265
193,LIMA METROPOLITANA,LIMA SUR 2_SAN JUAN DE MIRAFLORES: (PROVINCIA LIMA: SAN JUAN DE MIRAFLORES ),216,281
194,LIMA METROPOLITANA,LIMA SUR 3_PACHACAMAC: (PROVINCIA LIMA: PACHACAMAC ),104,136
195,LIMA METROPOLITANA,LIMA SUR 3_VILLA MARIA DEL TRIUNFO: (PROVINCIA LIMA: VILLA MARIA DEL TRIUNFO ),256,333
196,LIMA METROPOLITANA,LIMA SUR 4_LURIN: (PROVINCIA LIMA: LURIN ),80,104
197,LIMA METROPOLITANA,"LIMA SUR 4_PUNTA HERMOSA: (PROVINCIA LIMA: PUNTA HERMOSA, PUCUSANA, PUNTA NEGRA, SAN BARTOLO, SANTA MARIA DEL MAR )",64,84
198,LIMA METROPOLITANA,LIMA SUR 4_VILLA EL SALVADOR: (PROVINCIA LIMA: VILLA EL SALVADOR ),212,276
199,LIMA METROPOLITANA,"CANTA: (PROVINCIA CANTA: CANTA, ARAHUAY, HUAMANTANGA, HUAROS, LACHAQUI, SAN BUENAVENTURA, SANTA ROSA DE QUIVES / PROVINCIA YAULI: MARCAPOMACOCHA, SANTA BARBARA DE CARHUACAYAN )",32,42
200,LIMA METROPOLITANA,"CAÑETE 1: (PROVINCIA CAÑETE: SAN VICENTE DE CAÑETE, CERRO AZUL, SAN LUIS )",84,109
201,LIMA METROPOLITANA,"CAÑETE 2: (PROVINCIA CAÑETE: IMPERIAL, LUNAHUANA, NUEVO IMPERIAL, PACARAN, ZUÑIGA / PROVINCIA YAUYOS: YAUYOS, ALIS, ALLAUCA, AZANGARO, CACRA, CARANIA, CATAHUASI, CHOCOS, COLONIA, HONGOS, HUANCAYA, HUANGASCAR, HUANTAN, LARAOS, LINCHA, MADEAN, MIRAFLORES, PUTINZA, TOMAS, TUPE, VIÑAC, VITIS )",104,136
202,LIMA METROPOLITANA,"CAÑETE 3: (PROVINCIA CAÑETE: MALA, ASIA, CALANGO, CHILCA, COAYLLO, QUILMANA, SAN ANTONIO, SANTA CRUZ DE FLORES / PROVINCIA YAUYOS: AYAVIRI, COCHAS, HUAMPARA, HUAÑEC, OMAS, QUINCHES, QUINOCAY, SAN JOAQUIN, SAN PEDRO DE PILAS, TANTA, TAURIPAMPA )",120,156
203,LIMA METROPOLITANA,"HUAROCHIRI: (PROVINCIA HUAROCHIRI: MATUCANA, ANTIOQUIA, CALLAHUANCA, CARAMPOMA, CHICLA, CUENCA, HUACHUPAMPA, HUANZA, HUAROCHIRI, LAHUAYTAMBO, LANGA, LARAOS, MARIATANA, RICARDO PALMA, SAN ANDRES DE TUPICOCHA, SAN ANTONIO, SAN BARTOLOME, SAN DAMIAN, SAN JUAN DE IRIS, SAN JUAN DE TANTARANCHE, SAN LORENZO DE QUINTI, SAN MATEO, SAN MATEO DE OTAO, SAN PEDRO DE CASTA, SAN PEDRO DE HUANCAYRE, SANGALLAYA, SANTA CRUZ DE COCACHACRA, SANTA EULALIA, SANTIAGO DE ANCHUCAYA, SANTIAGO DE TUNA, SANTO DOMINGO DE LOS OLLEROS, SURCO, )",100,130
204,LIMA PROVINCIAS,"HUAURA 1: (PROVINCIA HUAURA: HUACHO, CALETA DE CARQUIN, HUALMAY, SANTA MARIA )",104,136
205,LIMA PROVINCIAS,"BARRANCA: (PROVINCIA BARRANCA: BARRANCA, PARAMONGA, PATIVILCA, SUPE, SUPE PUERTO / PROVINCIA CAJATAMBO: CAJATAMBO, COPA, GORGOR, HUANCAPON, MANAS / PROVINCIA OCROS: CARHUAPAMPA, COCHAS)",132,172
206,LIMA PROVINCIAS,"HUARAL 1: (PROVINCIA HUARAL: HUARAL, ATAVILLOS ALTO, ATAVILLOS BAJO, IHUARI, LAMPIAN, PACARAOS, SAN MIGUEL DE ACOS, SANTA CRUZ DE ANDAMARCA, SUMBILCA, VEINTISIETE DE NOVIEMBRE )",96,125
207,LIMA PROVINCIAS,"HUARAL 2: (PROVINCIA HUARAL: CHANCAY, AUCALLAMA )",60,78
208,LIMA PROVINCIAS,"HUAURA 2: (PROVINCIA HUAURA: HUAURA, AMBAR, CHECRAS, LEONCIO PRADO, PACCHO, SANTA LEONOR, SAYAN, VEGUETA / PROVINCIA OYON: OYON, ANDAJES, CAUJUL, COCHAMARCA, NAVAN, PACHANGARA )",116,151
209,LORETO,"MAYNAS 1: (PROVINCIA MAYNAS: IQUITOS / PROVINCIA PUTUMAYO: PUTUMAYO, ROSA PANDURO, TENIENTE MANUEL CLAVERO, YAGUAS )",74,96
210,LORETO,"LORETO: (PROVINCIA LORETO: NAUTA, PARINARI, TIGRE, TROMPETEROS, URARINAS )",60,78
211,LORETO,"MARISCAL RAMON CASTILLA: (PROVINCIA MARISCAL RAMON CASTILLA: RAMON CASTILLA, PEBAS, YAVARI, SAN PABLO )",48,63
212,LORETO,"MAYNAS 2: (PROVINCIA MAYNAS: SAN JUAN BAUTISTA, ALTO NANAY )",102,133
213,LORETO,"MAYNAS 3: (PROVINCIA MAYNAS: PUNCHANA, MAZAN, NAPO, TORRES CAUSANA )",76,99
214,LORETO,"MAYNAS 4: (PROVINCIA MAYNAS: BELEN, FERNANDO LORES, INDIANA, LAS AMAZONAS )",72,94
215,LORETO,"REQUENA: (PROVINCIA REQUENA: REQUENA, ALTO TAPICHE, CAPELO, EMILIO SAN MARTIN, MAQUIA, PUINAHUA, SAQUENA, SOPLIN, TAPICHE, JENARO HERRERA, YAQUERANA )",46,60
216,MADRE DE DIOS,"TAMBOPATA 1: (PROVINCIA TAMBOPATA: TAMBOPATA, LABERINTO )",96,125
217,MADRE DE DIOS,"MANU: (PROVINCIA MANU: MADRE DE DIOS, MANU, FITZCARRALD, HUEPETUHE )",34,44
218,MADRE DE DIOS,TAMBOPATA 2: (PROVINCIA TAMBOPATA: INAMBARI ),34,44
219,MADRE DE DIOS,"TAMBOPATA 3: ( PROVINCIA TAMBOPATA: LAS PIEDRAS /PROVINCIA TAHUAMANU: IÑAPARI, IBERIA, TAHUAMANU)",40,52
220,MOQUEGUA,"MARISCAL NIETO: (PROVINCIA MARISCAL NIETO: MOQUEGUA, CARUMAS, CUCHUMBAYA, SAMEGUA, SAN CRISTOBAL, TORATA, SAN ANTONIO /PROVINCIA GENERAL SANCHEZ CERRO: OMATE, CHOJATA, COALAQUE, ICHUÑA, LA CAPILLA, LLOQUE, MATALAQUE, PUQUINA, QUINISTAQUILLAS, UBINAS, YUNGA)",136,177
221,MOQUEGUA,"ILO: (PROVINCIA ILO: ILO, EL ALGARROBAL, PACOCHA )",64,84
222,PASCO,"PASCO: (PROVINCIA PASCO: CHAUPIMARCA, HUACHON, HUARIACA, HUAYLLAY, NINACACA, PALLANCHACRA, PAUCARTAMBO, SAN FRANCISCO DE ASIS DE YARUSYACAN, SIMON BOLIVAR, TICLACAYAN, TINYAHUARCO, VICCO, YANACANCHA )",120,156
223,PASCO,"DANIEL ALCIDES CARRION: (PROVINCIA DANIEL ALCIDES CARRION: YANAHUANCA, CHACAYAN, GOYLLARISQUIZGA, PAUCAR, SAN PEDRO DE PILLAO, SANTA ANA DE TUSI, TAPUC, VILCABAMBA )",36,47
224,PASCO,"OXAPAMPA: (PROVINCIA OXAPAMPA: CONSTITUCION, OXAPAMPA, CHONTABAMBA, HUANCABAMBA, PALCAZU, POZUZO, PUERTO BERMUDEZ, VILLA RICA )",108,141
225,PIURA,PIURA 1: (PROVINCIA PIURA: PIURA ),92,120
226,PIURA,"AYABACA: (PROVINCIA AYABACA: AYABACA, JILILI, LAGUNAS, MONTERO, SAPILLICA, SICCHEZ )",68,89
227,PIURA,"HUANCABAMBA 1: (PROVINCIA HUANCABAMBA: HUANCABAMBA, EL CARMEN DE LA FRONTERA, SONDOR, SONDORILLO )",86,112
228,PIURA,"HUANCABAMBA 2: (PROVINCIA HUANCABAMBA: HUARMACA, CANCHAQUE, LALAQUIZ, SAN MIGUEL DE EL FAIQUE )",76,99
229,PIURA,MORROPON 1: (PROVINCIA MORROPON: CHULUCANAS /PROVINCIA AYABACA: FRIAS),84,110
230,PIURA,"MORROPON 2: ( PROVINCIA MORROPON: MORROPON, BUENOS AIRES, CHALACO, LA MATANZA, SALITRAL, SAN JUAN DE BIGOTE, SANTA CATALINA DE MOSSA, SANTO DOMINGO, YAMANGO /PROVINCIA AYABACA: PACAIPAMPA)",128,167
231,PIURA,"PAITA: (PROVINCIA PAITA: PAITA, AMOTAPE, ARENAL, COLAN, LA HUACA, TAMARINDO, VICHAYAL )",104,136
232,PIURA,PIURA 2: (PROVINCIA PIURA: TAMBO GRANDE ),104,136
233,PIURA,"PIURA 3: ( PROVINCIA PIURA: LAS LOMAS /PROVINCIA AYABACA: PAIMAS, SUYO)",54,70
234,PIURA,PIURA 4: (PROVINCIA PIURA: CASTILLA ),120,156
235,PIURA,"PIURA 5: (PROVINCIA PIURA: CATACAOS, LA ARENA, LA UNION )",104,136
236,PIURA,PIURA 6: (PROVINCIA PIURA: VEINTISEIS DE OCTUBRE ),114,148
237,PIURA,"SECHURA: ( PROVINCIA SECHURA: SECHURA, BELLAVISTA DE LA UNION, BERNAL, CRISTO NOS VALGA, VICE, RINCONADA LLICUAR / PROVINCIA PIURA: CURA MORI, EL TALLAN)",84,110
238,PIURA,"SULLANA 1: (PROVINCIA SULLANA: SULLANA, BELLAVISTA )",136,177
239,PIURA,"SULLANA 2: (PROVINCIA SULLANA: MARCAVELICA, IGNACIO ESCUDERO, LANCONES, MIGUEL CHECA, QUERECOTILLO, SALITRAL )",84,110
240,PIURA,"TALARA: (PROVINCIA TALARA: PARIÑAS, EL ALTO, LA BREA, LOBITOS, LOS ORGANOS, MANCORA )",96,125
241,PUNO,PUNO 1: (PROVINCIA PUNO: PUNO ),116,151
242,PUNO,"AZANGARO 1: (PROVINCIA AZANGARO: AZANGARO, ASILLO, MUÑANI, POTONI, SAN ANTON, SAN JOSE )",116,151
243,PUNO,"AZANGARO 2: (PROVINCIA AZANGARO: JOSE DOMINGO CHOQUEHUANCA, ACHAYA, ARAPA, CAMINACA, CHUPA, SAMAN, SAN JUAN DE SALINAS, SANTIAGO DE PUPUJA, TIRAPATA )",112,146
244,PUNO,"CARABAYA: (PROVINCIA CARABAYA: MACUSANI, AJOYANI, AYAPATA, COASA, CORANI, CRUCERO, ITUATA, OLLACHEA, SAN GABAN, USICAYOS )",104,136
245,PUNO,"CHUCUITO 1: (PROVINCIA CHUCUITO: JULI, HUACULLANI, POMATA )",84,110
246,PUNO,"CHUCUITO 2: (PROVINCIA CHUCUITO: DESAGUADERO, KELLUYO, PISACOMA, ZEPITA )",92,120
247,PUNO,"EL COLLAO: (PROVINCIA EL COLLAO: ILAVE, CAPAZO, PILCUYO, SANTA ROSA, CONDURIRI )",140,182
248,PUNO,"HUANCANE: (PROVINCIA HUANCANE: HUANCANE, COJATA, HUATASANI, INCHUPALLA, PUSI, ROSASPATA, TARACO, VILQUE CHICO )",140,182
249,PUNO,"LAMPA: (PROVINCIA LAMPA: LAMPA, CABANILLA, CALAPUJA, NICASIO, OCUVIRI, PALCA, PARATIA, PUCARA, SANTA LUCIA, VILAVILA )",88,115
250,PUNO,"MELGAR: (PROVINCIA MELGAR: AYAVIRI, ANTAUTA, CUPI, LLALLI, MACARI, NUÑOA, ORURILLO, SANTA ROSA, UMACHIRI )",112,146
251,PUNO,"MOHO: (PROVINCIA MOHO: MOHO, CONIMA, HUAYRAPATA, TILALI )",60,78
252,PUNO,"PUNO 2: (PROVINCIA PUNO: ACORA, AMANTANI, ATUNCOLLA, CAPACHICA, CHUCUITO, COATA, HUATA, MAÑAZO, PAUCARCOLLA, PICHACANI, PLATERIA, SAN ANTONIO, TIQUILLACA, VILQUE )",188,245
253,PUNO,"SAN ANTONIO DE PUTINA: (PROVINCIA SAN ANTONIO DE PUTINA: PUTINA, ANANEA, PEDRO VILCA APAZA, QUILCAPUNCU, SINA )",72,94
254,PUNO,SAN ROMAN 1: (PROVINCIA SAN ROMAN: JULIACA ),204,266
255,PUNO,"SAN ROMAN 2: (PROVINCIA SAN ROMAN: SAN MIGUEL, CABANA, CABANILLAS, CARACOTO )",108,141
256,PUNO,"SANDIA: (PROVINCIA SANDIA: SANDIA, CUYOCUYO, LIMBANI, PATAMBUCO, PHARA, QUIACA, SAN JUAN DEL ORO, YANAHUAYA, ALTO INAMBARI, SAN PEDRO DE PUTINA PUNCO )",112,146
257,PUNO,"YUNGUYO: (PROVINCIA YUNGUYO: YUNGUYO, ANAPIA, COPANI, CUTURAPI, OLLARAYA, TINICACHI, UNICACHI )",76,99
258,SAN MARTIN - MOYOBAMBA,"MOYOBAMBA: (PROVINCIA MOYOBAMBA: MOYOBAMBA, CALZADA, HABANA, JEPELACIO, SORITOR, YANTALO / PROVINCIA RODRIGUEZ DE MENDOZA: VISTA ALEGRE )",114,148
259,SAN MARTIN - MOYOBAMBA,"EL DORADO: (PROVINCIA EL DORADO: SAN JOSE DE SISA, AGUA BLANCA, SAN MARTIN, SANTA ROSA, SHATOJA )",34,44
260,SAN MARTIN - MOYOBAMBA,"LAMAS: (PROVINCIA LAMAS: LAMAS, ALONSO DE ALVARADO, BARRANQUITA, CAYNARACHI, CUÑUMBUQUI, PINTO RECODO, RUMISAPA, SAN ROQUE DE CUMBAZA, SHANAO, TABALOSOS, ZAPATERO )",77,100
261,SAN MARTIN - MOYOBAMBA,"RIOJA: (PROVINCIA RIOJA: NUEVA CAJAMARCA, RIOJA, AWAJUN, ELIAS SOPLIN VARGAS, PARDO MIGUEL, POSIC, SAN FERNANDO, YORONGOS, YURACYACU )",106,138
262,SAN MARTIN - TARAPOTO,"SAN MARTIN: (PROVINCIA SAN MARTIN: TARAPOTO, ALBERTO LEVEAU, CACATACHI, CHAZUTA, CHIPURANA, EL PORVENIR, HUIMBAYOC, JUAN GUERRA, LA BANDA DE SHILCAYO, MORALES, PAPAPLAYA, SAN ANTONIO, SAUCE, SHAPAJA )",160,208
263,SAN MARTIN - TARAPOTO,"ALTO AMAZONAS: (PROVINCIA ALTO AMAZONAS: YURIMAGUAS, BALSAPUERTO, JEBEROS, LAGUNAS, SANTA CRUZ, TENIENTE CESAR LOPEZ ROJAS )",108,141
264,SAN MARTIN - TARAPOTO,"BELLAVISTA: (PROVINCIA BELLAVISTA: BELLAVISTA, ALTO BIAVO, BAJO BIAVO, HUALLAGA, SAN PABLO, SAN RAFAEL )",56,73
265,SAN MARTIN - TARAPOTO,"DATEM DEL MARAÑON: (PROVINCIA DATEM DEL MARAÑON: BARRANCA, CAHUAPANAS, MANSERICHE, MORONA, PASTAZA, ANDOAS )",68,89
266,SAN MARTIN - TARAPOTO,"MARISCAL CACERES: (PROVINCIA MARISCAL CACERES: JUANJUI, CAMPANILLA, HUICUNGO, PACHIZA, PAJARILLO /PROVINCIA HUALLAGA: SAPOSOA, ALTO SAPOSOA, EL ESLABON, PISCOYACU, SACANCHE, TINGO DE SAPOSOA)",84,110
267,SAN MARTIN - TARAPOTO,"PICOTA: (PROVINCIA PICOTA: PICOTA, BUENOS AIRES, CASPISAPA, PILLUANA, PUCACACA, SAN CRISTOBAL, SAN HILARION, SHAMBOYACU, TINGO DE PONASA, TRES UNIDOS )",40,52
268,SAN MARTIN - TARAPOTO,"TOCACHE: (PROVINCIA TOCACHE: TOCACHE, NUEVO PROGRESO, POLVORA, SHUNTE, UCHIZA, SANTA LUCIA / PROVINCIA MARAÑON: CHOLON)",88,115
269,TACNA,"TACNA 1: (PROVINCIA TACNA: TACNA, LA YARADA LOS PALOS )",112,146
270,TACNA,TACNA 2: (PROVINCIA TACNA: CORONEL GREGORIO ALBARRACIN LANCHIPA ),116,151
271,TACNA,"TACNA 3: ( PROVINCIA TACNA: ALTO DE LA ALIANZA, CALANA, CIUDAD NUEVA, INCLAN, PACHIA, PALCA, POCOLLAY, SAMA / PROVINCIA TARATA: TARATA, HEROES ALBARRACIN, ESTIQUE, ESTIQUE-PAMPA, SITAJARA, SUSAPAYA, TARUCACHI, TICACO /PROVINCIA CANDARAVE: CANDARAVE, CAIRANI, CAMILACA, CURIBAYA, HUANUARA, QUILAHUANI / PROVINCIA JORGE BASADRE: LOCUMBA, ILABAYA, ITE /)",136,177
272,TUMBES,TUMBES 1: (PROVINCIA TUMBES: TUMBES ),72,94
273,TUMBES,"TUMBES 2: (PROVINCIA CONTRALMIRANTE VILLAR: ZORRITOS, CASITAS, CANOAS DE PUNTA SAL / PROVINCIA TUMBES: CORRALES, LA CRUZ, PAMPAS DE HOSPITAL, SAN JACINTO, SAN JUAN DE LA VIRGEN )",68,89
274,TUMBES,"ZARUMILLA: (PROVINCIA ZARUMILLA: ZARUMILLA, AGUAS VERDES, MATAPALO, PAPAYAL )",44,58
275,UCAYALI,CORONEL PORTILLO 1: (PROVINCIA CORONEL PORTILLO: CALLERIA/ PROVINCIA ATALAYA: YURUA / PROVINCIA PURUS: PURUS),108,141
276,UCAYALI,"ATALAYA: (PROVINCIA ATALAYA: RAIMONDI, SEPAHUA, TAHUANIA )",58,76
277,UCAYALI,"CORONEL PORTILLO 2: (PROVINCIA CORONEL PORTILLO: MANANTAY, CAMPOVERDE, IPARIA, MASISEA, NUEVA REQUENA )",112,146
278,UCAYALI,CORONEL PORTILLO 3: (PROVINCIA CORONEL PORTILLO: YARINACOCHA ),76,99
279,UCAYALI,"PADRE ABAD: (PROVINCIA PADRE ABAD: PADRE ABAD, IRAZOLA, CURIMANA, NESHUYA, ALEXANDER VON HUMBOLDT, HUIPOCA, BOQUERON )",70,91
280,UCAYALI,"UCAYALI: (PROVINCIA UCAYALI: CONTAMANA, INAHUAYA, PADRE MARQUEZ, PAMPA HERMOSA, SARAYACU, VARGAS GUERRA )",48,63
